iter	RMSE
0	26.4605498
1	19.51321685
2	14.90791056
3	12.07322107
4	9.596941801
5	7.742367307
6	6.37137354
7	5.505460913
8	4.871983058
9	4.357512195
10	4.069201587
11	3.806145122
12	3.658611061
13	3.447498098
14	3.31518288
15	3.252072068
16	3.212048287
17	3.148060317
18	3.060418653
19	2.985563097
20	2.949447512
21	2.876958635
22	2.836723829
23	2.761728506
24	2.699724211
25	2.65049823
26	2.611410202
27	2.580822662
28	2.51453948
29	2.48687543
30	2.45178337
31	2.414359543
32	2.396960625
33	2.370252991
34	2.33337872
35	2.311515165
36	2.284675905
37	2.265783882
38	2.249232669
39	2.235938531
40	2.201279024
41	2.170757285
42	2.149864903
43	2.125484879
44	2.10485881
45	2.092089642
46	2.059355859
47	2.048241275
48	2.023185098
49	2.012151273
50	1.999420063
51	1.98730977
52	1.966265821
53	1.952797295
54	1.940890955
55	1.93393573
56	1.90614692
57	1.88898053
58	1.871542497
59	1.86711131
60	1.859141117
61	1.851579264
62	1.840316417
63	1.821741728
64	1.810032588
65	1.800592535
66	1.790830714
67	1.773162266
68	1.757894679
69	1.751881024
70	1.743928553
71	1.737402815
72	1.730065839
73	1.720497435
74	1.707884057
75	1.696114258
76	1.691011856
77	1.684093437
78	1.676812559
79	1.670182434
80	1.645784393
81	1.635286907
82	1.627862355
83	1.612214519
84	1.607429323
85	1.601193769
86	1.592190448
87	1.581971207
88	1.578657379
89	1.57392939
90	1.572656745
91	1.560182349
92	1.555515401
93	1.542895107
94	1.537367949
95	1.532684534
96	1.523281958
97	1.518481159
98	1.514940996
99	1.506320641
100	1.500664219
101	1.496584602
102	1.492425125
103	1.483654243
104	1.473116029
105	1.468695008
106	1.464924007
107	1.460064139
108	1.456085192
109	1.449799308
110	1.442322034
111	1.439039564
112	1.436393978
113	1.434297195
114	1.429014025
115	1.424112031
116	1.417129437
117	1.41222298
118	1.409452651
119	1.406045407
120	1.397418085
121	1.389035407
122	1.383309927
123	1.379041598
124	1.374687536
125	1.36731383
126	1.365994138
127	1.362249397
128	1.358798474
129	1.354268436
130	1.351720828
131	1.347339148
132	1.337300753
133	1.335539326
134	1.334720826
135	1.318913953
136	1.308577804
137	1.303785277
138	1.301218957
139	1.297923937
140	1.296037397
141	1.290170452
142	1.287724902
143	1.282078253
144	1.280891138
145	1.278483516
146	1.271582582
147	1.269989606
148	1.267297022
149	1.26490866
150	1.26294636
151	1.258356886
152	1.255974356
153	1.254033784
154	1.253042863
155	1.25017895
156	1.243413797
157	1.241020588
158	1.239774018
159	1.235835017
160	1.230367235
161	1.227330866
162	1.225493743
163	1.216805512
164	1.212229729
165	1.209411321
166	1.207405105
167	1.202981149
168	1.201732643
169	1.197836534
170	1.195551256
171	1.194265195
172	1.193089965
173	1.187005098
174	1.186242768
175	1.182332114
176	1.181214104
177	1.177560357
178	1.175647211
179	1.173987739
180	1.170841897
181	1.166719252
182	1.164002748
183	1.161439531
184	1.157674901
185	1.156258423
186	1.155448245
187	1.153643931
188	1.150788821
189	1.149436617
190	1.147007484
191	1.145309189
192	1.143222672
193	1.14199318
194	1.140181972
195	1.138818845
196	1.136886081
197	1.135989479
198	1.132869526
199	1.131434718
200	1.130709534
201	1.126108925
202	1.125185027
203	1.122706462
204	1.120889993
205	1.11591442
206	1.111909829
207	1.110514182
208	1.108581974
209	1.101881708
210	1.098873423
211	1.09666939
212	1.09591627
213	1.094033479
214	1.092045609
215	1.090556935
216	1.087734562
217	1.085477093
218	1.084526371
219	1.083615097
220	1.081774991
221	1.080345471
222	1.079706563
223	1.078886612
224	1.077391519
225	1.075926031
226	1.075190614
227	1.073376812
228	1.068788389
229	1.067461866
230	1.066630523
231	1.065659166
232	1.06455886
233	1.062859565
234	1.062113896
235	1.060727966
236	1.05888254
237	1.057088831
238	1.055827211
239	1.054978127
240	1.054315736
241	1.053291694
242	1.051473426
243	1.048707102
244	1.047674011
245	1.046141283
246	1.044658757
247	1.042196949
248	1.041548517
249	1.041242798
250	1.040757706
251	1.038953835
252	1.037963372
253	1.037512495
254	1.035034246
255	1.031880165
256	1.030432627
257	1.029033754
258	1.027488669
259	1.027168863
260	1.025079704
261	1.023548524
262	1.021646194
263	1.019811837
264	1.019275142
265	1.018980272
266	1.018370615
267	1.016883308
268	1.015924496
269	1.012991558
270	1.010299322
271	1.009306289
272	1.007444513
273	1.005978094
274	1.005466371
275	1.00480764
276	1.003302169
277	0.9998990538
278	0.9949935929
279	0.9945364749
280	0.9917496359
281	0.9914336689
282	0.9907228429
283	0.9899971164
284	0.9849193815
285	0.9842822135
286	0.9823023161
287	0.9795987899
288	0.9789143933
289	0.977890727
290	0.9772286227
291	0.9752502495
292	0.9746164544
293	0.9743154488
294	0.9726484639
295	0.9707061056
296	0.9704574169
297	0.9686873305
298	0.9677444749
299	0.9641672228
300	0.9635012033
301	0.9625538744
302	0.9620745327
303	0.9607333551
304	0.9595516851
305	0.9573900722
306	0.9567026015
307	0.9550530327
308	0.9536730407
309	0.9523171659
310	0.9513506259
311	0.9509954799
312	0.950159506
313	0.948226541
314	0.9473092714
315	0.9465803579
316	0.9451473107
317	0.9439427462
318	0.9430042354
319	0.9401400135
320	0.939370727
321	0.9379993762
322	0.937393794
323	0.9351293751
324	0.9333311657
325	0.9328929054
326	0.9318443686
327	0.931286433
328	0.930693417
329	0.9302321328
330	0.9279015125
331	0.9263444626
332	0.925619772
333	0.9249433354
334	0.9243703986
335	0.9231539127
336	0.922541227
337	0.9221984937
338	0.9203894298
339	0.9195350109
340	0.9171493773
341	0.9167230266
342	0.9164236243
343	0.9152506267
344	0.9148244974
345	0.9128530701
346	0.9122982472
347	0.9120109958
348	0.9102199002
349	0.9098643854
350	0.9090073123
351	0.9084481637
352	0.907619025
353	0.9073292703
354	0.9049253006
355	0.9042277146
356	0.9020906873
357	0.9015294908
358	0.9008938987
359	0.9001581879
360	0.8991285993
361	0.8975293258
362	0.8968885974
363	0.8960301714
364	0.8949726832
365	0.8945502273
366	0.8926795612
367	0.8924071648
368	0.8894536346
369	0.8884581576
370	0.8868435992
371	0.8864686818
372	0.884804368
373	0.8840196523
374	0.8828715252
375	0.8820168472
376	0.8814568303
377	0.8808389986
378	0.8790624254
379	0.8784550557
380	0.8778103855
381	0.8771986598
382	0.8769566803
383	0.8762965248
384	0.8756835142
385	0.8751369826
386	0.8742137462
387	0.8718528555
388	0.871500093
389	0.8706541193
390	0.8698010381
391	0.8694180649
392	0.8684445337
393	0.8674314206
394	0.8670812006
395	0.8652843222
396	0.8617498092
397	0.8613731728
398	0.8606928343
399	0.8601633241
400	0.8593960637
401	0.8583555524
402	0.8571154825
403	0.8564558813
404	0.8556932683
405	0.8534404836
406	0.8529168686
407	0.8524806051
408	0.8508355913
409	0.8500866027
410	0.8487678251
411	0.8484914194
412	0.8479558852
413	0.8467263875
414	0.8457904839
415	0.8454953697
416	0.845324832
417	0.8448674973
418	0.8437772386
419	0.8424897539
420	0.8410897504
421	0.8406722612
422	0.8404299813
423	0.8400734006
424	0.8394465203
425	0.8387020216
426	0.8385425094
427	0.8375980859
428	0.8371796397
429	0.8366997472
430	0.836403915
431	0.8360740385
432	0.8354660438
433	0.8347415905
434	0.8344124183
435	0.8339024826
436	0.8332466177
437	0.8321224328
438	0.8316294354
439	0.8311382726
440	0.8303584675
441	0.8293721529
442	0.828312859
443	0.8267201574
444	0.8257815308
445	0.8241248383
446	0.8239374084
447	0.8233438194
448	0.8222674316
449	0.8217630523
450	0.8214273171
451	0.8212583859
452	0.8197204142
453	0.8194409644
454	0.8187777243
455	0.8182515372
456	0.8175365627
457	0.8158867001
458	0.815392672
459	0.8145521135
460	0.812408189
461	0.8119407337
462	0.811422177
463	0.8109488783
464	0.8106603699
465	0.8103523778
466	0.8098880427
467	0.8093859365
468	0.8080327722
469	0.8077097439
470	0.8067392686
471	0.806063371
472	0.8043007149
473	0.803596948
474	0.8027971903
475	0.8022841473
476	0.8015394515
477	0.8012297533
478	0.7992293582
479	0.7978827591
480	0.7973355568
481	0.7965948543
482	0.7961583347
483	0.7954909816
484	0.7947135941
485	0.7940133841
486	0.7936110319
487	0.7927657264
488	0.7919544234
489	0.7902042583
490	0.7896941138
491	0.7894456352
492	0.7886114975
493	0.7883521849
494	0.7880603237
495	0.7878709542
496	0.7876386924
497	0.7870179618
498	0.7858354798
499	0.7850557515
